Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds,DriverID,TeamID,TyreCode,StintNorm,LapTrend,TimeSeconds,PaceDeviation,DeltaToBest,RollingAvgDriver
0 days 00:23:42.623000,LEC,16,0 days 00:01:55.028000,3.0,1.0,,,0 days 00:00:40.160000,0 days 00:00:38.868000,0 days 00:00:36,0 days 00:22:27.755000,0 days 00:23:06.623000,0 days 00:23:42.623000,264.0,135.0,243.0,168.0,False,HARD,3.0,True,Ferrari,0 days 00:21:47.595000,2023-09-02 14:06:47.706,1,,False,,False,True,115.028,2,0,0,0.0,0.13043478260869565,1422.623,34.667,34.73400000000001,98.762
0 days 00:25:36.100000,LEC,16,0 days 00:01:53.477000,4.0,1.0,,,0 days 00:00:42.280000,0 days 00:00:34.924000,0 days 00:00:36.273000,0 days 00:24:24.903000,0 days 00:24:59.827000,0 days 00:25:36.100000,287.0,266.0,310.0,101.0,False,HARD,4.0,True,Ferrari,0 days 00:23:42.623000,2023-09-02 14:08:42.734,1,,False,,False,True,113.477,2,0,0,0.0,0.17391304347826086,1536.1,33.116,33.18300000000001,114.2525
0 days 00:26:58.096000,LEC,16,0 days 00:01:21.996000,5.0,1.0,,,0 days 00:00:27.244000,0 days 00:00:27.664000,0 days 00:00:27.088000,0 days 00:26:03.344000,0 days 00:26:31.008000,0 days 00:26:58.096000,320.0,336.0,312.0,341.0,True,HARD,5.0,True,Ferrari,0 days 00:25:36.100000,2023-09-02 14:10:36.211,1,,False,,False,True,81.996,2,0,0,0.0,0.21739130434782608,1618.096,1.634999999999991,1.7019999999999982,97.7365
0 days 00:28:53.787000,LEC,16,0 days 00:01:55.691000,6.0,1.0,,0 days 00:28:48.481000,0 days 00:00:34.062000,0 days 00:00:38.420000,0 days 00:00:43.209000,0 days 00:27:32.158000,0 days 00:28:10.578000,0 days 00:28:53.787000,198.0,244.0,,248.0,False,HARD,6.0,True,Ferrari,0 days 00:26:58.096000,2023-09-02 14:11:58.207,1,,False,,False,False,115.691,2,0,0,0.0,0.2608695652173913,1733.787,35.33,35.397000000000006,98.8435
0 days 00:31:08.850000,LEC,16,0 days 00:02:15.063000,7.0,2.0,0 days 00:29:18.668000,,0 days 00:01:03.762000,0 days 00:00:36.732000,0 days 00:00:34.569000,0 days 00:29:57.549000,0 days 00:30:34.281000,0 days 00:31:08.850000,234.0,223.0,310.0,175.0,False,HARD,7.0,False,Ferrari,0 days 00:28:53.787000,2023-09-02 14:13:53.898,1,,False,,False,False,135.063,2,0,0,0.16666666666666666,0.30434782608695654,1868.85,54.701999999999984,54.76899999999999,125.37700000000001
0 days 00:32:30.638000,LEC,16,0 days 00:01:21.788000,8.0,2.0,,,0 days 00:00:27.095000,0 days 00:00:27.668000,0 days 00:00:27.025000,0 days 00:31:35.945000,0 days 00:32:03.613000,0 days 00:32:30.638000,323.0,343.0,314.0,342.0,True,HARD,8.0,False,Ferrari,0 days 00:31:08.850000,2023-09-02 14:16:08.961,1,,False,,False,True,81.788,2,0,0,0.16666666666666666,0.34782608695652173,1950.638,1.4269999999999925,1.4939999999999998,108.4255
0 days 00:34:20.634000,LEC,16,0 days 00:01:49.996000,9.0,2.0,,0 days 00:34:16.790000,0 days 00:00:39.923000,0 days 00:00:33.050000,0 days 00:00:37.023000,0 days 00:33:10.561000,0 days 00:33:43.611000,0 days 00:34:20.634000,235.0,281.0,,118.0,False,HARD,9.0,False,Ferrari,0 days 00:32:30.638000,2023-09-02 14:17:30.749,1,,False,,False,False,109.996,2,0,0,0.16666666666666666,0.391304347826087,2060.634,29.63499999999999,29.701999999999998,95.89200000000001
0 days 00:45:29.185000,LEC,16,0 days 00:01:21.175000,11.0,3.0,,,0 days 00:00:26.809000,0 days 00:00:27.433000,0 days 00:00:26.933000,0 days 00:44:34.819000,0 days 00:45:02.252000,0 days 00:45:29.185000,322.0,339.0,312.0,348.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:44:08.010000,2023-09-02 14:29:08.121,1,,False,,False,True,81.175,2,0,1,0.3333333333333333,0.4782608695652174,2729.185,0.813999999999993,0.8810000000000002,95.58550000000001
0 days 00:47:14.123000,LEC,16,0 days 00:01:44.938000,12.0,3.0,,0 days 00:47:10.266000,0 days 00:00:32.400000,0 days 00:00:32.759000,0 days 00:00:39.779000,0 days 00:46:01.585000,0 days 00:46:34.344000,0 days 00:47:14.123000,269.0,278.0,,212.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:45:29.185000,2023-09-02 14:30:29.296,1,,False,,False,False,104.938,2,0,1,0.3333333333333333,0.5217391304347826,2834.123,24.576999999999998,24.644000000000005,93.05650000000001
0 days 00:55:43.874000,LEC,16,0 days 00:01:20.977000,14.0,4.0,,,0 days 00:00:26.833000,0 days 00:00:27.308000,0 days 00:00:26.836000,0 days 00:54:49.730000,0 days 00:55:17.038000,0 days 00:55:43.874000,322.0,337.0,309.0,345.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:54:22.897000,2023-09-02 14:39:23.008,1,,False,,False,True,80.977,2,0,1,0.5,0.6086956521739131,3343.874,0.6159999999999997,0.6830000000000069,92.95750000000001
